productId,category,material,craftType,quality,rawMaterialCost,laborCost,packagingCost,otherCost,totalCost,competitorPrice,averageMarketPrice,demandScore,sellingPrice
KS-PROD-0001,Handloom & Sarees,Silk Cotton,Jacquard Weaving,Fine Heritage,1830.0,1670.0,100.0,160.0,3760.0,5760.0,5780.0,9,4870.0
KS-PROD-0002,Pottery & Terracotta,Clay,Wheel Pottery,Standard,480.0,280.0,70.0,80.0,910.0,1510.0,1510.0,9,1240.0
KS-PROD-0003,Jewellery & Brassware,Cast Brass,Lost-Wax Dokra Casting,Masterpiece,3010.0,2730.0,120.0,160.0,6020.0,6590.0,7030.0,2,6920.0
KS-PROD-0004,Textiles & Embroidery,Linen,Kantha Needlework,Masterpiece,440.0,320.0,90.0,20.0,870.0,1390.0,1350.0,5,1140.0
KS-PROD-0005,Textiles & Embroidery,Organic Cotton,Chikankari Stitching,Standard,120.0,250.0,50.0,20.0,440.0,650.0,660.0,4,560.0
KS-PROD-0006,Bags & Accessories,Embroidered Silk,Jute Stitching,Fine Heritage,300.0,560.0,80.0,60.0,1000.0,1240.0,1300.0,2,1150.0
KS-PROD-0007,Bamboo & Cane Craft,Golden Cane,Split Cane Weaving,Fine Heritage,260.0,710.0,80.0,30.0,1080.0,1840.0,1740.0,6,1460.0
KS-PROD-0008,Bamboo & Cane Craft,Wild Bamboo,Split Cane Weaving,Fine Heritage,260.0,310.0,100.0,70.0,740.0,1060.0,1050.0,6,910.0
KS-PROD-0009,Bags & Accessories,Cotton Canvas,Hand Braiding,Standard,200.0,400.0,50.0,60.0,710.0,1160.0,1210.0,10,980.0
KS-PROD-0010,Woodcraft & Carvings,Rosewood,Chisel Carving,Standard,710.0,400.0,70.0,80.0,1260.0,1970.0,1990.0,10,1660.0
KS-PROD-0011,Bags & Accessories,Embroidered Silk,Jute Stitching,Masterpiece,600.0,710.0,70.0,40.0,1420.0,1970.0,1970.0,6,1720.0
KS-PROD-0012,Bags & Accessories,Golden Jute,Hand Braiding,Masterpiece,630.0,590.0,40.0,60.0,1320.0,2150.0,2270.0,9,1820.0
KS-PROD-0013,Woodcraft & Carvings,Sheesham Wood,Wood Turning,Fine Heritage,580.0,450.0,90.0,100.0,1220.0,1610.0,1670.0,5,1460.0
KS-PROD-0014,Handloom & Sarees,Silk Cotton,Jacquard Weaving,Fine Heritage,3750.0,4910.0,170.0,70.0,8900.0,15000.0,15790.0,8,12530.0
KS-PROD-0015,Home Decor & Brassware,Terracotta,Sand Casting,Masterpiece,350.0,930.0,80.0,50.0,1410.0,2270.0,2350.0,9,1910.0
